City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Mgandu,TZ,-5.95,34.1333,67.64,67,100,3.47,overcast clouds
312,Virginia Beach,US,36.8529,-75.978,42.06,60,7,1.99,clear sky
313,Rafsanjan,IR,30.4067,55.9939,47.01,52,0,4.47,clear sky
314,Agdam,AZ,39.991,46.9274,44.85,49,100,3.69,overcast clouds
315,Carnarvon,AU,-24.8667,113.6333,78.19,71,6,17.85,clear sky
316,Ambilobe,MG,-13.2,49.05,77.02,90,100,1.54,light rain
317,Hailar,CN,49.2,119.7,-1.3,91,100,7.81,overcast clouds
318,Prince George,CA,53.9166,-122.753,-7.74,72,100,4.0,overcast clouds
319,La Roche-Sur-Yon,FR,46.6667,-1.4333,47.64,87,0,11.5,clear sky
320,Nabire,ID,-3.3667,135.4833,73.78,95,100,4.45,overcast clouds
321,Florence,IT,43.7667,11.25,56.64,92,75,1.14,broken clouds
322,Amsterdam,NL,52.374,4.8897,42.01,79,75,7.0,broken clouds
323,Coolum Beach,AU,-26.5333,153.1,74.23,87,53,14.63,broken clouds
324,Prince Rupert,CA,54.3161,-130.3201,7.36,78,100,10.0,overcast clouds
325,Pachino,IT,36.7186,15.0907,53.64,85,0,13.8,clear sky
326,Port Augusta,AU,-32.5,137.7667,54.72,72,0,17.65,clear sky
327,Tabou,CI,4.423,-7.3528,79.54,77,13,6.04,few clouds
328,Coquimbo,CL,-29.9533,-71.3436,69.93,72,3,10.89,clear sky
329,Novyy Urgal,RU,51.0736,132.5642,-38.31,100,49,1.1,scattered clouds
330,Kropotkin,RU,45.4375,40.5756,40.12,80,76,11.1,broken clouds
331,Colares,PT,38.7992,-9.4469,55.8,75,20,3.0,few clouds
332,Mahina,PF,-17.5065,-149.489,82.17,78,75,9.22,broken clouds
333,Zhongshu,CN,24.5167,103.7667,45.09,95,0,4.85,clear sky
334,Leningradskiy,RU,69.3833,178.4167,23.81,76,75,7.02,broken clouds
335,Saint-Joseph,RE,-21.3667,55.6167,75.58,83,37,10.02,scattered clouds
